date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:39	15211/15211	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20May%202025%2013:29:39%20GMT	https://Aymen-leBoubarrada.fr/	C:/My%20Web%20Sites/Portfolio%20Aymen/Aymen-leBoubarrada.fr/index.html	(from )
15:29:39	61/61	---M--	200	added ('OK')	text/plain	date:Wed,%2014%20Feb%202024%2016:06:16%20GMT	https://Aymen-leBoubarrada.fr/robots.txt		(from )
15:29:39	3300/3300	---M--	200	added ('OK')	image/webp	date:Mon,%2027%20Jan%202025%2021:39:50%20GMT	https://Aymen-leBoubarrada.fr/images/logo-web-component.webp	C:/My%20Web%20Sites/Portfolio%20Aymen/Aymen-leBoubarrada.fr/images/logo-web-component.webp	(from https://Aymen-leBoubarrada.fr/)
15:29:39	4543/4543	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Feb%202024%2014:17:44%20GMT	https://Aymen-leBoubarrada.fr/css/style.css	C:/My%20Web%20Sites/Portfolio%20Aymen/Aymen-leBoubarrada.fr/css/style.css	(from https://Aymen-leBoubarrada.fr/)
15:29:39	4463/4463	---M-Z	200	added ('OK')	text/css	date:Mon,%2017%20Mar%202025%2019:47:48%20GMT	https://Aymen-leBoubarrada.fr/css/Header.css	C:/My%20Web%20Sites/Portfolio%20Aymen/Aymen-leBoubarrada.fr/css/Header.css	(from https://Aymen-leBoubarrada.fr/)
15:29:40	15128/15128	---M-Z	200	added ('OK')	text/css	date:Mon,%2017%20Mar%202025%2020:31:38%20GMT	https://Aymen-leBoubarrada.fr/css/Acceuil.css	C:/My%20Web%20Sites/Portfolio%20Aymen/Aymen-leBoubarrada.fr/css/Acceuil.css	(from https://Aymen-leBoubarrada.fr/)
15:29:40	3571/3571	---M-Z	200	added ('OK')	text/css	date:Tue,%2013%20Sep%202022%2016:11:32%20GMT	https://Aymen-leBoubarrada.fr/css/Footer.css	C:/My%20Web%20Sites/Portfolio%20Aymen/Aymen-leBoubarrada.fr/css/Footer.css	(from https://Aymen-leBoubarrada.fr/)
15:29:40	399/399	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2029%20Apr%202025%2017:16:19%20GMT	https://unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.esm.js	C:/My%20Web%20Sites/Portfolio%20Aymen/unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.esm.js	(from https://Aymen-leBoubarrada.fr/)
15:29:40	119513/119513	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2029%20Apr%202025%2017:16:22%20GMT	https://unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.js	C:/My%20Web%20Sites/Portfolio%20Aymen/unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.js	(from https://Aymen-leBoubarrada.fr/)
15:29:41	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Portfolio%20Aymen/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://Aymen-leBoubarrada.fr/)
